Entity Name,Entity Code,Year,Population
Afghanistan,AFG,2019,38041757
Albania,ALB,2019,2854191
Algeria,DZA,2019,43053054
American Samoa,ASM,2019,55312
Andorra,AND,2019,77146
Angola,AGO,2019,31825299
Antigua and Barbuda,ATG,2019,97115
Argentina,ARG,2019,44938712
Armenia,ARM,2019,2957728
Aruba,ABW,2019,106310
Australia,AUS,2019,25365745
Austria,AUT,2019,8879920
Azerbaijan,AZE,2019,10024283
"Bahamas, The",BHS,2019,389486
Bahrain,BHR,2019,1641164
Bangladesh,BGD,2019,163046173
Barbados,BRB,2019,287021
Belarus,BLR,2019,9419758
Belgium,BEL,2019,11488980
Belize,BLZ,2019,390351
Benin,BEN,2019,11801151
Bermuda,BMU,2019,63913
Bhutan,BTN,2019,763094
Bolivia,BOL,2019,11513102
Bosnia and Herzegovina,BIH,2019,3300998
Botswana,BWA,2019,2303703
Brazil,BRA,2019,211049519
British Virgin Islands,VGB,2019,30033
Brunei Darussalam,BRN,2019,433296
Bulgaria,BGR,2019,6975761
Burkina Faso,BFA,2019,20321383
Burundi,BDI,2019,11530577
Cabo Verde,CPV,2019,549936
Cambodia,KHM,2019,16486542
Cameroon,CMR,2019,25876387
Canada,CAN,2019,37601230
Cayman Islands,CYM,2019,64948
Central African Republic,CAF,2019,4745179
Chad,TCD,2019,15946882
Channel Islands,CHI,2019,172264
Chile,CHL,2019,18952035
China,CHN,2019,1407745000
Colombia,COL,2019,50339443
Comoros,COM,2019,850891
"Congo, Dem. Rep.",COD,2019,86790568
"Congo, Rep.",COG,2019,5380504
Costa Rica,CRI,2019,5047561
Cote d'Ivoire,CIV,2019,25716554
Croatia,HRV,2019,4065253
Cuba,CUB,2019,11333484
Curacao,CUW,2019,157441
Cyprus,CYP,2019,1198574
Czech Republic,CZE,2019,10671870
Denmark,DNK,2019,5814422
Djibouti,DJI,2019,973557
Dominica,DMA,2019,71808
Dominican Republic,DOM,2019,10738957
Ecuador,ECU,2019,17373657
"Egypt, Arab Rep.",EGY,2019,100388076
El Salvador,SLV,2019,6453550
Equatorial Guinea,GNQ,2019,1355982
Estonia,EST,2019,1326855
Eswatini,SWZ,2019,1148133
Ethiopia,ETH,2019,112078727
Faroe Islands,FRO,2019,48677
Fiji,FJI,2019,889955
Finland,FIN,2019,5521606
France,FRA,2019,67248926
French Polynesia,PYF,2019,279285
Gabon,GAB,2019,2172578
"Gambia, The",GMB,2019,2347696
Georgia,GEO,2019,3720161
Germany,DEU,2019,83092962
Ghana,GHA,2019,30417858
Gibraltar,GIB,2019,33706
Greece,GRC,2019,10721582
Greenland,GRL,2019,56225
Grenada,GRD,2019,112002
Guam,GUM,2019,167295
Guatemala,GTM,2019,16604026
Guinea,GIN,2019,12771246
Guinea-Bissau,GNB,2019,1920917
Guyana,GUY,2019,782775
Haiti,HTI,2019,11263079
Honduras,HND,2019,9746115
"Hong Kong SAR, China",HKG,2019,7507400
Hungary,HUN,2019,9771141
Iceland,ISL,2019,360563
India,IND,2019,1366417756
Indonesia,IDN,2019,270625567
"Iran, Islamic Rep.",IRN,2019,82913893
Iraq,IRQ,2019,39309789
Ireland,IRL,2019,4934340
Isle of Man,IMN,2019,84589
Israel,ISR,2019,9054000
Italy,ITA,2019,59729081
Jamaica,JAM,2019,2948277
Japan,JPN,2019,126264931
Jordan,JOR,2019,10101697
Kazakhstan,KAZ,2019,18513673
Kenya,KEN,2019,52573967
Kiribati,KIR,2019,117608
"Korea, Dem. People's Rep.",PRK,2019,25666158
"Korea, Rep.",KOR,2019,51764822
Kosovo,XKX,2019,1788878
Kuwait,KWT,2019,4207077
Kyrgyz Republic,KGZ,2019,6456200
Lao PDR,LAO,2019,7169456
Latvia,LVA,2019,1913822
Lebanon,LBN,2019,6855709
Lesotho,LSO,2019,2125267
Liberia,LBR,2019,4937374
Libya,LBY,2019,6777453
Liechtenstein,LIE,2019,38020
Lithuania,LTU,2019,2794137
Luxembourg,LUX,2019,620001
"Macao SAR, China",MAC,2019,640446
Madagascar,MDG,2019,26969306
Malawi,MWI,2019,18628749
Malaysia,MYS,2019,31949789
Maldives,MDV,2019,530957
Mali,MLI,2019,19658023
Malta,MLT,2019,504062
Marshall Islands,MHL,2019,58791
Mauritania,MRT,2019,4525698
Mauritius,MUS,2019,1265711
Mexico,MEX,2019,127575529
"Micronesia, Fed. Sts.",FSM,2019,113811
Moldova,MDA,2019,2664974
Monaco,MCO,2019,38967
Mongolia,MNG,2019,3225166
Montenegro,MNE,2019,622028
Morocco,MAR,2019,36471766
Mozambique,MOZ,2019,30366043
Myanmar,MMR,2019,54045422
Namibia,NAM,2019,2494524
Nauru,NRU,2019,10764
Nepal,NPL,2019,28608715
Netherlands,NLD,2019,17344874
New Caledonia,NCL,2019,271300
New Zealand,NZL,2019,4979300
Nicaragua,NIC,2019,6545503
Niger,NER,2019,23310719
Nigeria,NGA,2019,200963603
North Macedonia,MKD,2019,2076694
Northern Mariana Islands,MNP,2019,57213
Norway,NOR,2019,5347896
Oman,OMN,2019,4974992
Pakistan,PAK,2019,216565317
Palau,PLW,2019,18001
Panama,PAN,2019,4246440
Papua New Guinea,PNG,2019,8776119
Paraguay,PRY,2019,7044639
Peru,PER,2019,32510462
Philippines,PHL,2019,108116622
Poland,POL,2019,37965475
Portugal,PRT,2019,10286263
Puerto Rico,PRI,2019,3193694
Qatar,QAT,2019,2832071
Romania,ROU,2019,19371648
Russian Federation,RUS,2019,144406261
Rwanda,RWA,2019,12626938
Samoa,WSM,2019,197093
San Marino,SMR,2019,33864
Sao Tome and Principe,STP,2019,215048
Saudi Arabia,SAU,2019,34268529
Senegal,SEN,2019,16296362
Serbia,SRB,2019,6945235
Seychelles,SYC,2019,97625
Sierra Leone,SLE,2019,7813207
Singapore,SGP,2019,5703569
Sint Maarten (Dutch part),SXM,2019,41608
Slovak Republic,SVK,2019,5454147
Slovenia,SVN,2019,2088385
Solomon Islands,SLB,2019,669821
Somalia,SOM,2019,15442906
South Africa,ZAF,2019,58558267
South Sudan,SSD,2019,11062114
Spain,ESP,2019,47134837
Sri Lanka,LKA,2019,21803000
St. Kitts and Nevis,KNA,2019,52834
St. Lucia,LCA,2019,182795
St. Martin (French part),MAF,2019,38002
St. Vincent and the Grenadines,VCT,2019,110593
Sudan,SDN,2019,42813237
Suriname,SUR,2019,581363
Sweden,SWE,2019,10278887
Switzerland,CHE,2019,8575280
Syrian Arab Republic,SYR,2019,17070132
Tajikistan,TJK,2019,9321023
Tanzania,TZA,2019,58005461
Thailand,THA,2019,69625581
Timor-Leste,TLS,2019,1293120
Togo,TGO,2019,8082359
Tonga,TON,2019,104497
Trinidad and Tobago,TTO,2019,1394969
Tunisia,TUN,2019,11694721
Turkey,TUR,2019,83429607
Turkmenistan,TKM,2019,5942094
Turks and Caicos Islands,TCA,2019,38194
Tuvalu,TUV,2019,11655
Uganda,UGA,2019,44269587
Ukraine,UKR,2019,44386203
United Arab Emirates,ARE,2019,9770526
United Kingdom,GBR,2019,66836327
United States,USA,2019,328329953
Uruguay,URY,2019,3461731
Uzbekistan,UZB,2019,33580350
Vanuatu,VUT,2019,299882
"Venezuela, RB",VEN,2019,28515829
Vietnam,VNM,2019,96462108
Virgin Islands (U.S.),VIR,2019,106669
West Bank and Gaza,PSE,2019,4685306
"Yemen, Rep.",YEM,2019,29161922
Zambia,ZMB,2019,17861034
Zimbabwe,ZWE,2019,14645473
Africa Eastern and Southern,AFE,2019,660046272
Africa Western and Central,AFW,2019,446911598
Arab World,ARB,2019,427870273
Caribbean small states,CSS,2019,7401389
Central Europe and the Baltics,CEB,2019,102398494
Early-demographic dividend,EAR,2019,3290291029
East Asia & Pacific,EAS,2019,2350759473
East Asia & Pacific (excluding high income),EAP,2019,2103705075
East Asia & Pacific (IDA & IBRD countries),TEA,2019,2078012370
Euro area,EMU,2019,342283354
Europe & Central Asia,ECS,2019,920807612
Europe & Central Asia (excluding high income),ECA,2019,418757748
Europe & Central Asia (IDA & IBRD countries),TEC,2019,460788476
European Union,EUU,2019,447197811
Fragile and conflict affected situations,FCS,2019,908739462
Heavily indebted poor countries (HIPC),HPC,2019,801708019
High income,HIC,2019,1210861494
IBRD only,IBD,2019,4826259460
IDA & IBRD total,IBT,2019,6496952025
IDA blend,IDB,2019,561571929
IDA only,IDX,2019,1109120636
IDA total,IDA,2019,1670692565
Late-demographic dividend,LTE,2019,2308520840
Latin America & Caribbean,LCN,2019,646431661
Latin America & Caribbean (excluding high income),LAC,2019,589503742
Latin America & the Caribbean (IDA & IBRD countries),TLA,2019,630644771
Least developed countries: UN classification,LDC,2019,1033088986
Low & middle income,LMY,2019,6444060654
Low income,LIC,2019,647870823
Lower middle income,LMC,2019,3285416867
Middle East & North Africa,MEA,2019,456709496
Middle East & North Africa (excluding high income),MNA,2019,389457075
Middle East & North Africa (IDA & IBRD countries),TMN,2019,384771769
Middle income,MIC,2019,5796189831
North America,NAC,2019,365995096
OECD members,OED,2019,1364906735
Other small states,OSS,2019,31361216
Pacific island small states,PSS,2019,2491878
Post-demographic dividend,PST,2019,1112774428
Pre-demographic dividend,PRE,2019,944902748
Small states,SST,2019,41254483
South Asia,SAS,2019,1835776769
South Asia (IDA & IBRD),TSA,2019,1835776769
Sub-Saharan Africa,SSF,2019,1106957870
Sub-Saharan Africa (excluding high income),SSA,2019,1106860245
Sub-Saharan Africa (IDA & IBRD countries),TSS,2019,1106957870
Upper middle income,UMC,2019,2510772964
World,WLD,2019,7683437977
