Entity,Year,Population
World,1990,5280062644
World,1991,5368139818
World,1992,5452576967
World,1993,5537885402
World,1994,5622085293
World,1995,5706753581
World,1996,5789655178
World,1997,5872284397
World,1998,5954004340
World,1999,6034484369
World,2000,6114324044
World,2001,6193663732
World,2002,6272724236
World,2003,6351855732
World,2004,6431527221
World,2005,6511724848
World,2006,6592711655
World,2007,6674181848
World,2008,6757000414
World,2009,6839553692
World,2010,6921854591
World,2011,7003760440
World,2012,7089254548
World,2013,7175500378
World,2014,7261846543
World,2015,7347679005
World,2016,7433569330
World,2017,7519183399
World,2018,7602432733
World,2019,7683437977
